summary,sentiment,label
"I spend most of my time in jails and prisons on death row, as well as in low-income communities where there's a lot of hopelessness. Being at TED has been energizing because TED has an identity and a global impact. Identity is important, and being compassionate in our roles can make a big difference. My grandmother, who was the matriarch of our African-American family, taught me about the power of identity. She believed I was special and could do anything I wanted. She asked me to promise to always love my mom, do the right thing even when it's hard, and never drink alcohol. These promises shaped my life. Our criminal justice system has fundamentally changed over the years, leading to high rates of incarceration, especially in poor and communities of color. We need to address this system that treats the wealthy better than the poor. There is a need for truth and reconciliation to confront our history of racial oppression. We must also address issues like permanent disenfranchisement and life imprisonment for children. The death penalty is defined by error, with innocent people being executed. We must question whether we deserve to kill. Our society should be judged by how we treat the poor and marginalized, not just the rich and privileged. Poverty and injustice are interconnected, and we must pay attention to suffering and inequality. Our identity is at risk if we don't care about these issues. We need to be courageous and embrace these challenges. Each person is more than the worst thing they've done. The opposite of poverty is justice, not wealth. Our humanity is connected to everyone's humanity. It's important to hold on and keep our eyes on the prize of justice and compassion. There are opportunities to make a difference, like redirecting funding from punishment to law enforcement and safety. The increase in incarceration rates was driven by the misguided war on drugs, not violent crime. We need to help victims of crime and change our punishment philosophy.",8.0,positive
"Teachers should lead society and have a profound impact on students' lives. Artificial intelligence can lighten their workload, allowing them to focus on cultivating students' passions, excitement, moral values, teamwork, empathy, and creativity. The education system has not kept pace with technological advancements in other areas of life. We must prioritize interpersonal relationships and adapt our teaching methods. Artificial intelligence will replace certain tasks, but humans should focus on what AI cannot do, such as nurturing curiosity, critical thinking, and creativity. Education should emphasize teamwork, communication, and collaboration, rather than individual competition. We need to teach children love, empathy, and building trust. Basic academic subjects are important but should not be the sole focus. We must transform education to produce empathic and creative individuals, as robotics will dominate certain industries. If we fail to adapt, the future will be bleak. Teachers should evolve to become creative, strategic, and empathetic leaders. Thank you.",7.5,positive
"Seven years ago, while teaching an HTML5 course in Bogota, my grandmother passed away. This event prompted me to partner with Christian and create Platzi. I realized that we often focus on technology and the future, but neglect our own well-being. So, I want to share some insights on how to be happier.

Firstly, uninstall Facebook and limit your use of social media. Seeing others' curated lives can create anxiety and comparison. Disconnecting from these platforms allows for more productivity and happiness.

Next, prioritize paying off your debts. Financial burdens hold us back and contribute to stress. Eliminating debt reduces anxiety and opens up opportunities for personal growth.

Invest in experiences rather than material possessions. Memories and unique adventures have a profound impact on our happiness. Spend your time and money on things that truly enrich your life.

Furthermore, be generous and give back. Helping others and practicing gratitude are linked to increased happiness. Consider donating or investing your time in meaningful causes.

Learn to forgive yourself and let go of guilt. Dwelling on past mistakes prevents personal growth and happiness. Practice self-forgiveness and move forward with a positive mindset.

Surround yourself with positive people and distance yourself from toxic individuals. The people we associate with greatly influence our own attitudes and outlook on life. Choose to be around those who support and uplift you.

Get enough sleep and prioritize self-care. Good sleep is essential for overall well-being. Aim for around 6.5 to 8 hours of quality rest each night.

Believe in science and rely on evidence-based knowledge. Denying scientific facts hinders progress and happiness. Embrace the truth and trust in scientific research.

Lastly, prioritize your close relationships. Take care of your family and friends who truly matter to you. Being there for loved ones, especially during difficult times, will bring you happiness and minimize regrets.

In conclusion, happiness is within our reach. By making small changes and prioritizing our own well-being, we can build a happier and more fulfilling life. Don't just focus on technology and the future; invest in yourself and your happiness.",6.0,positive
"We have recently fought a tough battle against drug companies that threaten our democracy. Our national policy, supported by the armed forces, has triumphed over these dark interests, reducing both physical and emotional insecurity. Our government has successfully lowered violence deaths by targeting terrorists and criminals. The national police, along with international cooperation from Chile, Panama, and Peru, plays a crucial role in these achievements. Urgent reforms are needed to ensure our security, as well as to promote employment and opportunities for our youth. We must continue to support the National Police and Armed Forces in their important work. Each day, they risk their lives to protect our citizens from organized crime and violence. They are defending not only individual citizens, but also families, just like theirs. We need their professionalism, values, and information to maintain a democratic society. I stand with them in this fight.",4.5,negative
"In this critical moment, the National Police and armed forces have shown their capability in facing challenges. The country suffers from violence, destruction, vaccines, drugs, and political crises. The traditional political priority has hindered progress, but the National Police and armed forces have persevered. We must support them politically and legally. Violent deaths have significantly decreased, and our goal is to achieve peace. We are no longer defensive, but offensive. Drug traffickers are our common enemy. The police and armed forces have changed the landscape of rescue operations and successfully recovered hostages. We have made important equipment purchases, but we need more support. The police force needs to be professional, trained, equipped, and motivated. A recent court decision in favor of a police officer defending a child's life has set an important precedent. In the coming days, we will provide new uniforms and continue to improve their knowledge and methods. This fight will be challenging, but our determination to win is unwavering. Together, we will see our country free and secure.",6.5,positive
"I want to thank the 95,000 fans who are here. No matter what team you support, this game is about more than points. Thank you for your support and we are proud to play our part. Thank you to SNN and the broader club for making this event special. We appreciate the opportunity to commemorate the sacrifice of all servicemen and women. Thank you to those serving our country both at home and abroad. We honor your service and sacrifice. To the veterans, thank you for your sacrifice and we hope to honor your legacy. Lastly, we acknowledge the pain felt by the families of those serving and veterans. It is an honor to play in your honor. Thank you for your service.",8.0,positive
"Amber Greenmulte presents Dasha with her trophy. Dasha gives a speech expressing gratitude to her team, particularly Daniel, and mentions missing him on tour. She praises the city of Charleston and thanks the tournament staff. Dasha also extends thanks to Ben Navaro and the WTA. She considers Charleston a special place and looks forward to returning next year.",8.0,positive
"I am a young man who always starts every meeting by asking, ""Who is younger, you or me?"" I may seem absurd to some who are 16, 18, 20, or 25 years old because I am already 50, but I still want to be young. Youth is not just about age; it is about the soul. Being young means fighting for justice, not being silenced or suppressed, and being prepared with knowledge and responsibility to transform society on a national, Latin American, and global level. There are dangers in being young - the attempts to confuse, misinform, and manipulate us. But I want to see unity among those who share our language and manipulate youth to be prepared. I want to see a focus on excellence, human talent, and utilizing our countries' resources to create a fair world without empires. The biggest challenge is fighting against the empire of capital, which prioritizes the interests of money over humanity. Changing this cannot be done by a small country alone; it requires a united world. We need to prepare ourselves to take political power and create a world for our future and the lives of our children - a world that is human, socialist, and embraces all of humanity. Welcome to this land that represents the young people of the world, socialism, the planet, and humanity itself. The world belongs to us and we are not alone.",5.0,negative
"Miley for president! I congratulate all the group leaders who represent the great ideas of this country and thank Carolina Píparo and Ramiro Marra for their battle. Today's election is crucial to decide between continuing with Kirchnerism or embracing freedom, which made Argentina great. Kirchnerism is a criminal organization that will stop at nothing to stay in power. We must unite to end it. Corruption and decline have plagued us under Kirchnerism. We need change to save our country. We need to work together to prevent Kirchnerism from destroying our lives and taking over. We have a clear choice between freedom and populism, between a better future for our children or them leaving the country. We must end corruption and political privileges. Let's not resign ourselves to mediocrity, poverty, or despair. We can make a liberal revolution for a better Argentina. Change is possible with freedom. Let's fight for it.",7.5,positive
"Your Majesties, authorities, ladies and gentlemen. Today, I stand before you in Oviedo, just two weeks after taking the oath of service to Spain. My military training has allowed me to learn alongside those who have chosen a life of service, witnessing their great sacrifices. Soon, I turn 18 and will be honored to pledge allegiance to our Constitution. To me, this commitment holds tremendous personal and institutional significance. As the honorary President of this Foundation, I deeply value the contributions of our awardees in creating a society that supports the most vulnerable, improving education, healthcare, and promoting science, culture, and environmental protection. We can achieve these goals through collective efforts. We find inspiration in Nucho Ordine's legacy, which humanizes humanity and champions education. Meryl Streep's performances demonstrate the ability of an artist to dissolve into their characters, portraying raw emotions with freedom, courage, and sensitivity. Helen Carrere's analysis of contemporary history and the work of Mary's Meals in feeding children are examples of dedication to improving society. I admire how Murakami's words create a universe bridging East and West in challenging urban environments. Keniatta Kipchoge's determination to push his limits and support others is an inspiration. Biologists Gordon Greenberg and Bassler's research on bodily bacteria's importance to health fascinates me. The initiative on neglected diseases highlights the disparity between their impact and research efforts. Today, I stand alongside individuals who embody the hope and inspiration that guide us, the younger generation. I express my gratitude to all the awardees, including those who have passed away, for enlightening us about the complexities of our world. Their achievements, tied to an award bearing my name, encourage us to walk a shared and hopeful path, embracing responsibility and hard work.",8.5,positive
"I want to visit and witness the hard work being done here. It would change my opinion. These people are my heroes. There are many ways to fail, but only one way to succeed. Marking a significant difference in space exploration and making it accessible to the world is my goal. Life shouldn't just be a problem, it should be inspiring and worthwhile. If someone is useful to society, that's good enough. It doesn't have to change the world. Depending on what you want to do, especially starting a company, hard work is necessary. Working 80-100 hours a week improves the chances of success. Advancing our knowledge of the world and asking the right questions is the only way to progress. Space exploration is difficult because there is no room for error. You can't test everything on Earth, it must be tested in space. Despite the challenges, I encourage you to take risks now before you have more responsibilities. Don't be afraid to try something new.",2.0,negative
"What's it like, God, for you? What's the song you never used to sing against my nigga? I love the song, we've met before. You're just like a fish. Thanks. Well, I have no doubt that this is a wonderful thing with people promising a delusion spirit that will transmit, resulting in massive votes. I am here from the UN, along with exceptional candidates. I want to thank everyone for their support. We have the opportunity to join together and bring about a 180-degree change in all political institutions. We have defended freedom, security, public services, family, and our identity. Our priority is to restore hope, freedom, and security to our neighborhoods and public services. We will work relentlessly to return what has been lost. The next step is on May 28th, with our national president, Santiago Abascal.",4.0,negative
"In college, I designed costumes for Lorca's play, the House of Bernarda Alba. Materio, one of the sisters, says that history repeats itself and everything is a terrible repetition. Lorca wrote this impassioned play before he was murdered, expressing wisdom through Materio as a warning. Acting in this play gives a voice to the dead for the living to hear, a privilege for actors. Empathy is a gift we all share, allowing us to feel the feelings of others different from us. It is something we should take outside into the world. Empathy can be a radical form of outreach and diplomacy in our increasingly hostile world. Let's remember to listen, as every actor learns.",8.5,positive
"Those opposing the world economy's progress are detrimental and harmful to those still under their influence. Countries are focusing on strengthening their national sovereignty and developing their own policies. There is a growing emphasis on fair international cooperation and building alliances based on mutual benefit and respect. We actively cooperate with international unions such as BRICS, Shanghai organization, and others. Western opponents are trying to disrupt our cooperation with Russia, causing losses for states and their people. We have been blamed for the energy crisis in Europe, but others are responsible for it. The financial and international environment is also undergoing significant changes. Many emerging economies are adopting their national currencies in international trade. It is important to work together to establish a new global financial system to increase security and promote economic growth. The EU is expanding friendships with other countries in various regions.",5.0,negative
"Today, I am pleased to announce that we have successfully renegotiated the contract for the Council of airport Aero Dón. This renegotiation process, supervised by a commission of public officials and society members, has ensured better conditions and opportunities for investment before the contract sale in 2030. The agreement guarantees increased participation of the state in the benefits of airport operation, benefiting the Dominican people. As a result of this review, our country will receive a range of income between $1,905 to $2,555 million, including an initial payment of $775 million to the state, extended transaction payments, and an investment of $830 million to improve the airports. The growing tourism industry and development of the country as a commercial center have led to a double-digit growth in passenger traffic. Consequently, we will invest $16 million in improving the existing terminal at the International Airport of the Americas, Jose Francisco Peña-Gomis, reflecting a more modern and functional aspect. Additionally, by 2025, we will begin the construction of a new terminal at the airport, adding a capacity of 4 million passengers with an investment of $250 million. This renegotiation represents a significant benefit for the Dominican Republic, in contrast to the 1999 contract where the state received no remuneration. The $775 million received in the next six months will be dedicated exclusively to infrastructure projects, such as street repairs, car improvements, and work in various municipalities with an investment of $350 million. These negotiations are just the beginning, as we work towards ensuring all contracts and agreements benefit the Dominican Republic. We will seek approval from the Congress for this contract, as we are committed to the development and better quality of life for all Dominican citizens. The interests of the Dominican people are non-negotiable for this government, and this new contract proves that.",7.5,positive
"Dear workers, I greet you all from these historical places that hold great significance. I recognize the hard work of farmers, workers, and their families throughout Ecuador. The magnificent architecture surrounding us is a testament to the labor of many, who built beautiful structures and uplifted society through art. As a former worker myself, I understand the highs and lows that come with this life. This experience has led me to address labor issues in my role as a pastor. I have even dedicated an encyclical to promote justice, freedom, and co-responsibility in the world of work. I urge you, workers of Ecuador, to recognize your dignity as both men and Christians. Your faith and the teachings of the Church are precious assets that no one can take away. Seek to improve your lives while holding onto your spiritual richness. Never support violence that goes against your Catholic faith and stay close to your church, working together to create initiatives that promote dignity and well-being for all.",8.0,positive
"You have two more quarters left in this game, and after that, most of you will never play again. Being perfect is not about winning or the scoreboard, but about your relationships with yourself, family, and friends. It's about giving your all and not letting others down. Can you walk away knowing you did everything you could? If so, you will be perfect. Take a moment to look at each other, put each other in your hearts, because forever is about to happen. Close your eyes and think of Boobie Miles, your brother who would give anything to be here tonight. Keep him in your hearts. My heart is full.",5.0,negative
"What will you do after graduation? This question resonates deeply with uncertainty and dreams. We gather here as a community united by a shared journey. Today marks the culmination of years of hard work and resilience, as we reflect on the transformation within us. Our teachers and mentors have left an indelible mark on us. Our families and friends have been our pillar of strength. While we celebrate, let's also cherish the memories we've created. As we step into the future, we may feel a mix of excitement and apprehension. Success is built on hard work and courage. We must embrace our passions and make a positive difference. We are a force that inspires change for a better world. Graduates, this moment is precious. Cherish it, trust in yourselves, and let your light shine brightly. The answer to what we will do next is in our hands. Congratulations, class of June 2023, for all we have achieved and what lies ahead.",8.9,positive
"Who has felt overwhelmed by their feelings? We all have, but I believe that right now, in this moment, we can rise above it. Life brings pain and challenges that can make us fall in love, feel envy, and lose motivation. Good afternoon, my name is Luis Viučice and today I want to discuss the importance of mental health. Did you know that over 300 million people worldwide suffer from depression, which is more than the population of Mexico? Mental health is more than just a past experience. It's about our ability to cope with stress and make a positive impact on our community. However, it's not as simple as it seems. The pandemic has shown us just how vulnerable we are, with increased stress, anxiety, and substance abuse. This could become a global pandemic if we don't address it. We need to start treating our minds as our best friends, supporting and recognizing our abilities. Society needs to prioritize mental health and seek professional treatment. Maintaining a positive attitude, an active lifestyle, and a healthy diet are helpful, as they are closely linked to our mental well-being. Developing a strong social support network is also crucial. And most importantly, seeking therapy allows us to develop necessary skills to face life's challenges, preventing them from becoming more serious issues. Mental health impacts us all and shapes our understanding of life. It's about creating a safe environment for ourselves and seeking happiness. So I ask you, what will you do to care for your mental health?",4.2,negative
"Before we begin, let me ask you a question: How often do you laugh throughout the day? The answer may vary, but there are countless reasons that can elicit a smile. For instance, coming home to your dog, enjoying a meal with your favorite people, meeting friends at school, or waking up to a great party. Personally, I believe a smile is a facial expression that signifies pleasure, desire, or satisfaction, indicating that one is content with their surroundings. Furthermore, a smile holds significant importance in body language. Happiness is paramount, which brings me to the topic at hand - the power of a smile and why we should all smile more.

We all approach life differently. Some of us are introverts, while others are more extroverted. However, regardless of our personalities, we can all find joy in various situations and experience love. As for our expressions, they can drastically change depending on our mood. For instance, when I'm not smiling or when I have an issue with someone, my face bears a serious expression, revealing my displeasure. Now, let's explore the benefits of a smile.

To begin, smiling stimulates and uplifts our mood. Just as our mood affects our facial expression, our facial expression can also influence our mood. Additionally, a smile aids in reducing stress and helps us view things from a more positive perspective. Lastly, but certainly not least, smiles are free, and nothing should hinder us from smiling. Imagine if we greeted everyone with a smile, strangers or acquaintances alike. Not only would it brighten their day, but it would also enhance our own lives. We never truly know what makes us smile.

Considering the aforementioned benefits, it is evident that a smile greatly impacts us both externally and internally. It allows us to feel good about ourselves and the world around us. In conclusion, I ask one favor of you - let us strive to smile more.",6.0,positive
"My grandmother told me about the transparent waters that have now turned black. This is a result of the damage we are causing to our environment. We face a serious problem of environmental contamination, which has led to extreme weather and global warming. Environmental contamination is causing millions of deaths and the extinction of many animal species. We must take measures to protect the environment and change our habits. It is our responsibility to create a sustainable future for generations to come.",5.0,negative
"A nursing student in Georgia was tragically killed by an illegal alien, which has sparked a debate. Some argue that we should not label them as animals, but I believe they are. We are experiencing a new type of crime called migrant crime, where individuals from various countries are causing trouble, even fighting with the police. It's not just happening in South America, but also in places like China, Yemen, and Syria. Many of these individuals are young men who seem fit for military service. This influx of migrants is seriously damaging and threatening our country.",3.0,negative
"Thank you for the love and happiness we felt at this award ceremony. We met two incredible individuals: Peppin Corripio and Javier de Arroves. They exemplify the power of hard work and passion. Peppin is a young businessman who succeeded in his hometown, while Javier preserves traditional music. We enjoyed the presence of Vicente, the Pravian, and learned about the garden from his grandson Juan Carlos. We also visited the Artesanías market and saw the products made by local residents. We cannot forget the Pomaradas market and its singing lessons. We are excited to see the work of the Becinos Association, which brings generations together to preserve culture and traditions while embracing technology. By visiting the three parroquies, we saw firsthand how you have built strong cultural and family connections for a brighter future. Thank you for your efforts and congratulations on the award.",5.7,positive
"Good morning. I'd like to share the statement by our government, specifically the President. The Security Council emphasizes its responsibility for maintaining international peace and security. It recalls various conventions and resolutions related to drugs, psychotropic substances, organized crime, corruption, counterterrorism, and environmental crimes. The Council stresses that states should prevent and combat transnational organized crime and secure their borders. It also reaffirms its commitment to the principles of the UN Charter and the responsibility of states to counter terrorist acts. The Council recognizes the serious threats posed by transnational organized crime and its potential links to terrorism. It expresses concern over drug trafficking, smuggling of migrants and arms, and other criminal activities. The Council calls for enhanced international and regional cooperation, improved border management, and the adoption of comprehensive strategies. It recognizes the development of organized crime groups with advanced technologies and the need to address the illicit trafficking of small arms and light weapons. It emphasizes the importance of preventing diversion and illicit supply of weapons to terrorists and criminal groups, as well as enhancing international cooperation. The Council encourages UN agencies and regional organizations to provide technical assistance and capacity building to member states in countering transnational organized crime and terrorism. It recognizes the importance of civil society in raising awareness about terrorism and tackling it effectively. In response to questions, the President affirms respect for the sovereignty of countries and the need to protect borders. He also expresses support for peace and ending violence globally. The Secretary-General will brief the Security Council tomorrow on the situation in Gaza. Thank you.",4.0,negative
"In a country where we take pride in being Mejano, I want to talk about transparency and measures against corruption. Corruption is a major evil that hinders the growth of our country. We have had governments that serve their own power and impunity, causing civil wars and popular demonstrations. The authorities protect corruption at all levels, and it is a national shame. It is time for a change. Corruption has become a lifestyle that affects everyone, regardless of sex, religion, or ethnicity. We must join together to fight corruption and practice good values. Education, effort, tolerance, and respect are important in this fight. Together, we can bring real change and overcome the challenges we face. Thank you.",5.0,negative
"This generation, called the Cristal generation, is facing a serious issue with mental health. The causes of this problem are rooted in the social determinants that affect our lives. Mental health is impacted by the conditions of our society and the intense pressure we experience. For example, individuals are resorting to pills for insomnia caused by stress. Many young people are facing anxiety due to financial burdens and a bleak job market. Access to therapy is also limited, particularly for those who cannot afford private sessions. Our country lacks an adequate number of psychologists to meet the demand. It is crucial to prioritize mental health and ensure access to psychological support in healthcare centers.",2.0,negative
"What is your opinion on the game? Many people struggle with choosing a career and finding success. It's important to follow your passion and not be solely focused on money. Excuses and lack of resources shouldn't hold you back from pursuing your ideas and dreams. Success is a combination of inspiration and hard work, and talent alone is not enough. It's crucial to be dedicated and determined to develop your skills. The path to success requires constant effort and competition. Don't let negativity or comfort zones hinder your progress. Take action and be patient, as achieving goals takes time and effort. Remember, you are the one who decides what you want to do and how to achieve it. Have faith in yourself and ignore those who doubt you. Don't rush the process, as great things take time. Thank you for allowing me to offer guidance and support in your decision-making process. Good luck with whatever you choose to pursue.",4.0,negative
"""Argentinians! Today we gather, 42 years since the Falklands War, to honor our fallen in combat. We must defend our claim to the Falklands and surrounding areas with sincerity, not empty words. The politicians of the past have failed us, with no progress made. We need respect and a strong economy to be heard internationally. Our armed forces deserve recognition and support, which we will provide. Let us inaugurate a new era of reconciliation, where all of society honors our heroes. We will sign the May Pact, establishing new economic policies. Our unwavering claim to the islands remains, and we will work towards their return. Thank you to all who have served. May God bless Argentina.""",7.0,positive
"I want to express my gratitude to everyone who voted for me and share this prize with my election partner. It comes from Argentina and I am here with my son Diego representing everything. This gift is for all the groups and members of the group. I want to include my family in Argentina and Miami, especially my wife and son who are my partners. Thank you to all my colleagues for their support. I am grateful for the positions I have held and the impact I have made. We have helped create even more excitement and unity. Lastly, I want to mention Diego again. I am his player and there is no better place for him to be happy than being surrounded by players and fans who love football, like him. This is a great match with Boi and all the Argentina fans.",8.5,positive
"Today, I dressed up as Galas, symbolizing unity and hope for our team. This derby has been a memorable event for football fans. The match was intense, with ups and downs, but we emerged victorious. The players showed strength and determination. Danny Carbajal, our captain, led the team with his incredible performance. I cannot express how proud I am of him and the entire team. We celebrate Carbajal's birthday with his MVP-worthy performance, bringing hope to Real Madrid. The fans must respect other teams and players, like Toni Cross, who also performed well. This victory is significant, as it instills confidence for our upcoming matches. We will face Barcelona with determination. The Super Cup is ours, and we bid farewell to Atletico Madrid with gratitude for the tough competition they provided. This is an incredible moment for Real Madrid, and I am proud to be a part of this team. Goodbye to the Super Cup with a sense of fulfillment.",7.0,positive
"This is you. You're looking for opportunities to pass, waiting all the time. Maybe the one who follows or the one after that. Now I'm tired. Yes, maybe the next opportunity. And then someone like me appears. Maybe the next opportunity, right? Who in this room is like a lion? Life has no limits once you lose fear. The difference between you and me is that I have no fear. We spend too much time worrying about others. We try to fit in. But the truth is, if you're where you are, it's because you haven't taken the necessary steps. You're afraid of making mistakes. But if you look back, you wouldn't be where you are now. You still have time to leave and do it. Do you want to take the easy way? People in this room, me included, have fallen in love. Those who have been pissed off all their lives. It's simple, enough. If you want money, go for it. If you just want to be happy, find what fulfills you. Money can't buy happiness, but it can make your life better. You can make money and save the world. But without money, you can't help anyone. Make two lists: your goals and the people who influence you. Connect the two and see if they align.",5.0,negative
"You are the important law of legislature, the convocatorial of elections in Catalonia, and the government and its partners are causing political instability in Spain. They prioritize personal interests and use blackmail. On May 12th, I will defend the interests of most Catalans, not just independent parties. A better political future is possible for Catalonia. We will not abandon the constitutionalist Catalans who want to vote. The popular party of Catalonia, which is independent, received more votes than you in the last election. I understand that you are too proud to defend this project. The Sanchez party is betraying its voters and changing its program. They have been inconsistent with their stance on terrorism and corruption. Corruption takes many forms, such as nepotism and granting privileges to associates. This law is Sánchez's only way to remain president. They disregard the rights of the majority, justice, democracy, equality, and reconciliation, as Spain and Catalonia are divided.",3.0,negative
"Spanish speech: Andrea Giovanna Romero-Breton accomplished outstanding academic achievements in the 2022-2023 school year. We gather today to celebrate our hard work, determination, and the support of our loved ones. I'd like to share a story my father once told me. It's about a young man who encountered numerous obstacles but never gave up. Despite facing a tiger, he found a way to survive. The tiger represents the challenges we all encounter in life, but what truly matters is love and the moments that bring us happiness. We are grateful for the love and support of our parents, teachers, and school staff who have shaped us into the individuals we are today. I am especially thankful to my father for being my inspiration and guiding me to overcome obstacles. This award is not mine alone, but a testament to the efforts of my parents and those who have supported and believed in me. I also want to thank my siblings, teachers, and classmates for their unwavering support. Together, we have been equipped with the necessary tools to achieve success in the world. Our work is not done here; we will continue to learn and grow. As we look back on our time at this school, we will cherish the memories and the friendships that were formed. We will miss our teachers and the support they provided us. Thank you to everyone present for being a part of our journey and for the love you have shown us.",5.5,positive
"Ecuador needs a new political and social pact to emerge from its severe crisis. We must find a solution that offers hope and peace to Ecuadorian families and ends pointless confrontation. Despite attempts to depose my government, I have responsibly exercised the power entrusted to me. The political crisis has paralyzed the country, costing millions and threatening democracy. The opposition's efforts to impeach me are unfounded. They have obstructed legislative initiatives and pursued false accusations. Their goal is to seize power and engage in authoritarianism. I admit mistakes but have always acted constitutionally. Dialogue has been hindered by constant harassment from the National Assembly. To provide a way forward, I am dissolving the National Assembly and calling for new elections. This democratic decision returns power to the people. We will issue decree-laws to address the needs of Ecuadorian families. Public services, security, and the private sector will continue to operate. Let us build a better future together.",6.0,positive
